	Cluster	Sex	Side	Cell_Type	Cell_Type_Max	Cell_Type_Max_COUNTS	Marker
Male_R1-21063	6	Male	Right	Neuron	3.128944513	6	Thy1
Male_R1-21070	1	Male	Right	Neuron	4.132537978	15	Gap43
Male_R1-21071	1	Male	Right	Oligodendrocyte	1.710074888	27	Mbp
Male_R1-21074	2	Male	Right	Microglia	1.080501415	16	Tmem119
Male_R1-21075	2	Male	Right	Neuron	4.127689701	11	Nefl
Male_R1-21076	6	Male	Right	Endothelial	1.950587028	25	Nostrin
Male_R1-21080	7	Male	Right	Astrocyte	4.500064051	36	Fgfr3
Male_R1-21086	1	Male	Right	Astrocyte	0.971634273	20	Slc1a3
Male_R1-21090	1	Male	Right	Neuron	1.215408752	28	Map2
Male_R1-21093	3	Male	Right	Endothelial	3.277120338	5	Emcn
Male_R1-21103	3	Male	Right	Endothelial	3.523541008	9	Nostrin
Male_R1-21107	0	Male	Right	Neuron	4.720829851	25	Thy1
Male_R1-21111	0	Male	Right	Oligodendrocyte	1.85932758	15	Mbp
Male_R1-21116	9	Male	Right	Neuroepithelial	3.434043136	61	Sox2
Male_R1-21118	2	Male	Right	Erythroblast	7.843201558	17	Lmnb1
Male_R1-21120	8	Male	Right	Neuroepithelial	9.957153748	2	Hes1
Male_R1-21127	2	Male	Right	Microglia	2.846026201	11	Cd68
Male_R1-21130	0	Male	Right	Microglia	1.221216146	27	Cx3cr1
Male_R1-21131	3	Male	Right	Endothelial	3.319330958	6	Emcn
Male_R1-21132	10	Male	Right	Platelets	10	17	Ccl5
Male_R1-21143	2	Male	Right	Astrocyte	6.129183017	18	Aldh1l1
Male_R1-21144	6	Male	Right	Reticulocyte	2.525074623	6	Ruvbl1
Male_R1-21147	0	Male	Right	Microglia	2.783816279	11	Cd40
Male_R1-21148	2	Male	Right	Astrocyte	2.033550874	11	Slc1a3
Male_R1-21151	2	Male	Right	Astrocyte	2.315415505	21	Gfap
Male_R1-21152	6	Male	Right	Endothelial	2.83829734	6	Nostrin
Male_R1-21153	2	Male	Right	Oligodendrocyte	0.739411949	9	Mbp
Male_R1-21173	7	Male	Right	Astrocyte	7.577242236	4	Fgfr3
Male_R1-21176	1	Male	Right	Astrocyte	5.672736209	14	Aldh1l1
Male_R1-21177	2	Male	Right	Microglia	1.422716814	8	Tmem119
Male_R1-21178	1	Male	Right	Neuron	6.58732587	10	Thy1
Male_R1-21179	3	Male	Right	Endothelial	3.681132377	4	Emcn
Male_R1-21181	2	Male	Right	Microglia	3.720700438	12	Cd68
Male_R1-21182	4	Male	Right	Oligodendrocyte	2.065430232	6	Mbp
Male_R1-21186	7	Male	Right	Astrocyte	6.673279194	12	Gjb6
Male_R1-21187	4	Male	Right	Oligodendrocyte	1.970205678	7	Mbp
Male_R1-21191	0	Male	Right	Microglia	1.704952179	20	Tmem119
Male_R1-21199	6	Male	Right	Astrocyte	2.978009636	12	Gfap
Male_R1-21201	1	Male	Right	Neuron	4.537787296	13	Nefl
Male_R1-21202	1	Male	Right	Microglia	1.504788025	9	Tmem119
Male_R1-21209	1	Male	Right	Reticulocyte	2.849035134	9	Ruvbl1
Male_R1-21211	3	Male	Right	Neuron	9.819153336	2	Thy1
Male_R1-21213	2	Male	Right	Microglia	4.111527036	14	Cd68
Male_R1-21214	4	Male	Right	Immune	1.084348313	8	Tyrobp
Male_R1-21215	0	Male	Right	Oligodendrocyte	10	14	Mag
Male_R1-21217	7	Male	Right	Astrocyte	5.508451785	49	Fgfr3
Male_R1-21222	8	Male	Right	Astrocyte	1.363842199	3	Slc1a3
Male_R1-21231	2	Male	Right	Microglia	4.052132197	18	Cd40
Male_R1-21233	1	Male	Right	Microglia	2.428591934	15	Cd40
Male_R1-21235	0	Male	Right	Microglia	0.741203761	15	Cx3cr1
Male_R1-21236	0	Male	Right	Oligodendrocyte	10	16	Mag
Male_R1-21238	0	Male	Right	Neuron	7.683238647	8	Thy1
Male_R1-21240	0	Male	Right	Ependymal	4.440315387	12	Zmynd10
Male_R1-21251	1	Male	Right	Microglia	2.454014872	15	Cd40
Male_R1-21256	0	Male	Right	Microglia	1.442956521	10	Tmem119
Male_R1-21257	9	Male	Right	Stem cell	10	5	Pdgfra
Male_R1-21260	0	Male	Right	Neuron	2.732507872	17	Map2
Male_R1-21263	7	Male	Right	Astrocyte	5.552011189	27	Fgfr3
Male_R1-21265	11	Male	Right	Neuron	7.145656517	33	Tubb3
Male_R1-21267	1	Male	Right	Microglia	3.527798053	8	Cd40
Male_R1-21268	2	Male	Right	Microglia	0.968684036	12	Tmem119
Male_R1-21270	2	Male	Right	Astrocyte	2.121596214	2	Aqp4
Male_R1-21272	1	Male	Right	Neuroepithelial	2.027465038	20	Sox2
Male_R1-21277	2	Male	Right	Neuron	6.480049063	14	Thy1
Male_R1-21278	0	Male	Right	Microglia	2.410717712	8	Tmem119
Male_R1-21279	1	Male	Right	Microglia	2.22242509	24	Cd68
Male_R1-21283	1	Male	Right	Astrocyte	2.312060037	17	Gfap
Male_R1-21291	2	Male	Right	Microglia	1.016590459	5	Tmem119
Male_R1-21293	6	Male	Right	Neuron	3.786044978	25	Rbfox3
Male_R1-21300	0	Male	Right	Neuron	3.324970791	25	Nefl
Male_R1-21303	1	Male	Right	Microglia	1.707140086	12	Tmem119
Male_R1-21306	0	Male	Right	Oligodendrocyte	2.356835096	12	Mbp
Male_R1-21307	2	Male	Right	Oligodendrocyte	1.743125641	4	Mbp
Male_R1-21308	0	Male	Right	Microglia	1.74278721	19	Tmem119
Male_R1-21310	0	Male	Right	Reticulocyte	2.941600637	11	Ruvbl1
Male_R1-21313	0	Male	Right	Astrocyte	1.250497462	9	Aqp4
Male_R1-21314	2	Male	Right	Astrocyte	2.182067402	15	Slc1a3
Male_R1-21315	0	Male	Right	Microglia	1.796218992	20	Cd40
Male_R1-21322	2	Male	Right	Neuron	2.736792649	20	Map2
Male_R1-21325	0	Male	Right	Oligodendrocyte	1.928949002	20	Mbp
Male_R1-21327	2	Male	Right	Reticulocyte	2.772088982	11	Ruvbl1
Male_R1-21330	2	Male	Right	Oligodendrocyte	1.896101602	19	Mbp
Male_R1-21331	6	Male	Right	Platelets	8.590623059	9	Ccl5
Male_R1-21335	7	Male	Right	Astrocyte	10	145	Aldh1l1
Male_R1-21340	2	Male	Right	Astrocyte	1.297870898	24	Slc1a3
Male_R1-21341	3	Male	Right	Platelets	4.599617136	15	Ccl5
Male_R1-21346	0	Male	Right	Oligodendrocyte	1.487562052	16	Mbp
Male_R1-21347	1	Male	Right	Microglia	1.736544997	14	Tmem119
Male_R1-21349	2	Male	Right	Erythroblast	7.805941126	16	Lmnb1
Male_R1-21352	3	Male	Right	Neuron	5.219506792	3	Thy1
Male_R1-21355	0	Male	Right	Microglia	3.603793935	28	Cd40
Male_R1-21362	1	Male	Right	Neuron	1.276681294	25	Map2
Male_R1-21369	2	Male	Right	Neuron	9.913910289	5	Tubb3
Male_R1-21370	7	Male	Right	Neuroepithelial	6.74895957	61	Sox2
Male_R1-21371	2	Male	Right	Neuron	2.789917273	16	Mapt
Male_R1-21372	2	Male	Right	Neuron	4.365651806	16	Syt1
Male_R1-21374	1	Male	Right	Astrocyte	2.408680201	13	Slc1a3
Male_R1-21380	2	Male	Right	Ependymal	5.996528844	6	Zmynd10
Male_R1-21383	0	Male	Right	Astrocyte	7.614399332	16	Fgfr3
Male_R1-21385	2	Male	Right	Astrocyte	0.948996483	14	Slc1a3
Male_R1-21386	6	Male	Right	Neuroepithelial	4.469441111	3	Hes1
Male_R1-21388	7	Male	Right	Astrocyte	4.826633016	7	Gjb6
Male_R1-21389	2	Male	Right	Microglia	3.30426671	9	Cd40
Male_R1-21390	0	Male	Right	Oligodendrocyte	1.707416531	10	Mbp
Male_R1-21391	2	Male	Right	Microglia	1.713243774	12	Tmem119
Male_R1-21396	2	Male	Right	Reticulocyte	2.615705934	16	Ruvbl1
Male_R1-21399	0	Male	Right	Oligodendrocyte	1.996534139	13	Mbp
Male_R1-21402	7	Male	Right	Astrocyte	7.292026122	9	Gjb6
Male_R1-21403	0	Male	Right	Reticulocyte	2.776237349	11	Ruvbl1
Male_R1-21405	0	Male	Right	Oligodendrocyte	2.041586443	12	Mbp
Male_R1-21409	3	Male	Right	Reticulocyte	5.808384104	3	Ruvbl1
Male_R1-21412	7	Male	Right	Neuron	4.591343125	76	Rbfox3
Male_R1-21413	2	Male	Right	Astrocyte	1.320647993	11	Slc1a3
Male_R1-21417	0	Male	Right	Oligodendrocyte	0.906347631	12	Mbp
Male_R1-21419	3	Male	Right	Neuroepithelial	2.980300125	8	Hes1
Male_R1-21422	0	Male	Right	Oligodendrocyte	0.963460304	9	Mbp
Male_R1-21428	1	Male	Right	Microglia	1.093415698	21	Tmem119
Male_R1-21432	6	Male	Right	Astrocyte	3.291857222	1	Aqp4
Male_R1-21438	6	Male	Right	Endothelial	2.295842719	5	Nostrin
Male_R1-21440	0	Male	Right	Microglia	2.207897282	9	Cd68
Male_R1-21444	3	Male	Right	Endothelial	2.90788671	10	Nostrin
Male_R1-21457	2	Male	Right	Astrocyte	1.711472746	5	Gfap
Male_R1-21461	2	Male	Right	Neuroepithelial	3.593602436	12	Hes1
Male_R1-21470	1	Male	Right	Neuron	3.179245838	15	Nefl
Male_R1-21481	3	Male	Right	Neuroepithelial	3.115574242	9	Hes1
Male_R1-21483	14	Male	Right	Astrocyte	2.040332841	5	S100b
Male_R1-21494	0	Male	Right	Astrocyte	3.779343122	12	Gjb6
Male_R1-21496	2	Male	Right	Microglia	2.48679292	12	Cd68
Male_R1-21506	0	Male	Right	Oligodendrocyte	10	13	Mag
Male_R1-21508	1	Male	Right	Reticulocyte	4.144315799	20	Ruvbl1
Male_R1-21510	0	Male	Right	Oligodendrocyte	1.8436078	21	Mbp
Male_R1-21514	3	Male	Right	Endothelial	2.321495057	2	Emcn
Male_R1-21520	6	Male	Right	Neuroepithelial	6.305271804	4	Hes1
Male_R1-21521	2	Male	Right	Astrocyte	1.34366868	9	S100b
Male_R1-21524	3	Male	Right	Reticulocyte	5.32360708	4	Ruvbl1
Male_R1-21525	3	Male	Right	Neuroepithelial	3.161651771	3	Notch1
Male_R1-21528	3	Male	Right	Endothelial	3.352868338	6	Emcn
Male_R1-21533	2	Male	Right	Reticulocyte	3.842872694	9	Ruvbl1
Male_R1-21534	2	Male	Right	Microglia	3.473275774	5	Cd68
Male_R1-21538	1	Male	Right	Astrocyte	1.91658916	14	Gfap
Male_R1-21540	0	Male	Right	Neuron	3.518519242	39	Tubb3
Male_R1-21550	0	Male	Right	Microglia	3.565373911	10	Cd40
Male_R1-21553	2	Male	Right	Microglia	1.097282723	13	Cx3cr1
Male_R1-21554	3	Male	Right	Endothelial	1.65946092	5	Nostrin
Male_R1-21555	9	Male	Right	Neuron	10	11	Syt1
Male_R1-21559	1	Male	Right	Neuron	6.401109191	14	Thy1
Male_R1-21560	1	Male	Right	Microglia	0.910716026	8	Cx3cr1
Male_R1-21563	0	Male	Right	Reticulocyte	2.67106088	19	Ruvbl1
Male_R1-21570	2	Male	Right	Astrocyte	0.907033092	6	Slc1a3
Male_R1-21572	1	Male	Right	Astrocyte	1.914440514	3	Slc1a3
Male_R1-21584	0	Male	Right	Erythroblast	6.528698467	13	Lmnb1
Male_R1-21585	0	Male	Right	Immune	0.847074216	25	Tyrobp
Male_R1-21595	1	Male	Right	Neuron	7.531987009	12	Tubb3
Male_R1-21597	2	Male	Right	Astrocyte	1.179977307	21	Slc1a3
Male_R1-21599	2	Male	Right	Microglia	0.836884333	13	Tmem119
Male_R1-21600	7	Male	Right	Astrocyte	2.991259906	7	Gfap
Male_R1-21601	1	Male	Right	Astrocyte	5.765504852	8	Aldh1l1
Male_R1-21602	11	Male	Right	Neuroepithelial	7.71610645	27	Sox2
Male_R1-21610	2	Male	Right	Astrocyte	1.686372093	11	Gfap
Male_R1-21614	2	Male	Right	Neuron	4.515826695	15	Gap43
Male_R1-21621	3	Male	Right	Neuroepithelial	3.915863206	5	Hes1
Male_R1-21625	2	Male	Right	Microglia	2.921290259	9	Cd40
Male_R1-21627	0	Male	Right	Microglia	0.998139641	23	Cx3cr1
Male_R1-21634	0	Male	Right	Astrocyte	1.687813653	25	Slc1a3
Male_R1-21654	6	Male	Right	Endothelial	2.781276673	16	Nostrin
Male_R1-21662	2	Male	Right	Oligodendrocyte	10	12	Opalin
Male_R1-21670	3	Male	Right	Endothelial	3.297717947	11	Emcn
Male_R1-21685	0	Male	Right	Microglia	1.457780949	22	Tmem119
Male_R1-21686	1	Male	Right	Microglia	1.357576339	12	Tmem119
Male_R1-21689	0	Male	Right	Oligodendrocyte	10	35	Opalin
Male_R1-21700	8	Male	Right	Astrocyte	1.258946074	2	Aqp4
Male_R1-21711	0	Male	Right	Microglia	1.458883784	34	Cd40
Male_R1-21727	3	Male	Right	Endothelial	3.378749156	5	Emcn
Male_R1-21732	1	Male	Right	Neuron	1.296046573	19	Map2
Male_R1-21740	1	Male	Right	Neuron	2.598563634	28	Nefl
Male_R1-21748	1	Male	Right	Oligodendrocyte	0.956590737	15	Mbp
Male_R1-21750	0	Male	Right	Oligodendrocyte	10	30	Mag
Male_R1-21751	11	Male	Right	Ependymal	9.315535999	68	Zmynd10
Male_R1-21768	6	Male	Right	Endothelial	3.158395151	13	Nostrin
Male_R1-21769	4	Male	Right	Microglia	0.93457683	4	Tmem119
Male_R1-21776	2	Male	Right	Neuron	5.26293287	14	Syt1
Male_R1-21784	7	Male	Right	Oligodendrocyte	8.573397892	46	Opalin
Male_R1-21787	2	Male	Right	Microglia	2.41806585	15	Cd40
Male_R1-21791	3	Male	Right	Endothelial	2.364508468	10	Nostrin
Male_R1-21797	4	Male	Right	Oligodendrocyte	2.572686879	14	Mbp
Male_R1-21803	1	Male	Right	Reticulocyte	2.107569209	17	Ruvbl1
Male_R1-21804	6	Male	Right	Endothelial	1.922909907	7	Emcn
Male_R1-21806	0	Male	Right	Microglia	2.134718235	20	Tmem119
Male_R1-21807	1	Male	Right	Oligodendrocyte	1.212648597	6	Mbp
Male_R1-21814	3	Male	Right	Endothelial	4.472837965	9	Emcn
Male_R1-21818	1	Male	Right	Oligodendrocyte	1.248995083	10	Mbp
Male_R1-21819	1	Male	Right	Neuron	4.381395087	10	Gap43
Male_R1-21823	2	Male	Right	Microglia	1.066027603	12	Tmem119
Male_R1-21827	2	Male	Right	Neuron	6.314206324	24	Tubb3
Male_R1-21840	4	Male	Right	Neuron	3.430099068	2	Map2
Male_R1-21841	14	Male	Right	Astrocyte	1.33636077	20	Slc1a3
Male_R1-21844	4	Male	Right	Astrocyte	0.972773262	6	S100b
Male_R1-21845	3	Male	Right	Endothelial	3.361196928	4	Emcn
Male_R1-21856	2	Male	Right	Neuron	2.666124006	13	Mapt
Male_R1-21857	2	Male	Right	Microglia	2.473168145	15	Cd40
Male_R1-21861	11	Male	Right	Neuroepithelial	7.020918248	44	Sox2
Male_R1-21864	2	Male	Right	Oligodendrocyte	1.729779598	12	Mbp
Male_R1-21874	1	Male	Right	Microglia	0.67213334	14	Cx3cr1
Male_R1-21877	1	Male	Right	Neuron	4.773151708	13	Nefl
Male_R1-21879	3	Male	Right	Platelets	5.308506805	7	Ccl5
Male_R1-21881	0	Male	Right	Microglia	0.986727705	30	Tmem119
Male_R1-21885	2	Male	Right	Astrocyte	1.947785857	10	Gfap
Male_R1-21886	6	Male	Right	Neuroepithelial	1.871209578	6	Notch1
Male_R1-21893	2	Male	Right	Microglia	1.78806563	4	Tmem119
Male_R1-21895	1	Male	Right	Reticulocyte	2.312383083	14	Ruvbl1
Male_R1-21900	1	Male	Right	Immune	0.802874021	26	Tyrobp
Male_R1-21903	1	Male	Right	Neuron	3.590273256	14	Syt1
Male_R1-21904	7	Male	Right	Astrocyte	5.994233185	23	Gjb6
Male_R1-21906	2	Male	Right	Astrocyte	4.450896815	11	Gjb6
Male_R1-21910	3	Male	Right	Endothelial	2.695902855	6	Nostrin
Male_R1-21911	3	Male	Right	Neuron	3.295674956	5	Gap43
Male_R1-21915	1	Male	Right	Immune	1.257809615	42	Tyrobp
Male_R1-21919	0	Male	Right	Astrocyte	2.050246229	48	Gfap
Male_R1-21926	4	Male	Right	Astrocyte	2.240624096	15	Gfap
Male_R1-21930	0	Male	Right	Microglia	1.760361881	30	Cd40
Male_R1-21932	2	Male	Right	Astrocyte	5.162396857	25	Aldh1l1
Male_R1-21934	0	Male	Right	Microglia	1.89470135	14	Tmem119
Male_R1-21937	0	Male	Right	Immune	1.160400496	28	Tyrobp
Male_R1-21943	0	Male	Right	Ependymal	4.433516659	16	Zmynd10
Male_R1-21944	6	Male	Right	Endothelial	3.26629099	3	Nostrin
Male_R1-21947	0	Male	Right	Oligodendrocyte	2.38545616	13	Mbp
Male_R1-21948	0	Male	Right	Astrocyte	2.014856578	21	Gfap
Male_R1-21949	8	Male	Right	Astrocyte	1.889193749	4	S100b
Male_R1-21967	1	Male	Right	Microglia	1.374228207	14	Tmem119
Male_R1-21969	0	Male	Right	Microglia	1.120892442	17	Cx3cr1
Male_R1-21970	7	Male	Right	Astrocyte	4.868147439	27	Gjb6
Male_R1-21978	0	Male	Right	Oligodendrocyte	0.940955239	23	Mbp
Male_R1-21979	8	Male	Right	Neuroepithelial	5.532293808	1	Hes1
Male_R1-21983	4	Male	Right	Immune	1.098270614	6	Tyrobp
Male_R1-21994	1	Male	Right	Neuron	1.663856367	40	Nefl
Male_R1-21995	9	Male	Right	Neuron	9.750753283	33	Gap43
Male_R1-21996	2	Male	Right	Astrocyte	1.743457495	6	Slc1a3
Male_R1-21997	4	Male	Right	Microglia	4.405701181	13	Cd68
Male_R1-22000	2	Male	Right	Microglia	3.735349766	15	Cd40
Male_R1-22001	7	Male	Right	Astrocyte	7.615060538	27	Aldh1l1
Male_R1-22007	3	Male	Right	Neuron	2.290483984	2	Map2
Male_R1-22009	0	Male	Right	Microglia	2.563449999	49	Cd68
Male_R1-22013	3	Male	Right	Neuroepithelial	3.185165445	6	Notch1
Male_R1-22014	4	Male	Right	Microglia	5.630309534	9	Cd68
Male_R1-22023	7	Male	Right	Astrocyte	5.396482739	52	Fgfr3
Male_R1-22026	1	Male	Right	Astrocyte	1.388220263	5	Slc1a3
Male_R1-22027	0	Male	Right	Reticulocyte	2.304639789	15	Ruvbl1
Male_R1-22029	1	Male	Right	Astrocyte	3.213611585	15	Gfap
Male_R1-22031	2	Male	Right	Astrocyte	4.737829777	21	Gfap
Male_R1-22035	0	Male	Right	Immune	0.639415537	17	Tyrobp
Male_R1-22039	3	Male	Right	Endothelial	3.066128014	13	Nostrin
Male_R1-22040	3	Male	Right	Platelets	10	7	Ccl5
Male_R1-22045	7	Male	Right	Astrocyte	5.628731825	26	Gfap
Male_R1-22048	3	Male	Right	Neuroepithelial	4.703569602	2	Hes1
Male_R1-22051	1	Male	Right	Astrocyte	1.631616745	26	Gfap
Male_R1-22067	4	Male	Right	Astrocyte	2.841120244	10	Gfap
Male_R1-22069	0	Male	Right	Oligodendrocyte	1.03491332	26	Mbp
Male_R1-22074	4	Male	Right	Astrocyte	1.125241862	5	S100b
Male_R1-22075	2	Male	Right	Neuron	3.688705305	11	Map2
Male_R1-22078	1	Male	Right	Microglia	1.750497691	22	Cd68
Male_R1-22086	12	Male	Right	Microglia	5.030654791	32	Cd68
Male_R1-22091	1	Male	Right	Microglia	3.827324885	12	Cd40
Male_R1-22099	3	Male	Right	Endothelial	3.26607819	7	Emcn
Male_R1-22103	2	Male	Right	Microglia	3.921045176	12	Cd40
Male_R1-22106	7	Male	Right	Astrocyte	4.9970614	35	Aqp4
Male_R1-22116	3	Male	Right	Platelets	5.503149949	5	Ccl5
Male_R1-22118	1	Male	Right	Oligodendrocyte	1.495106647	16	Mbp
Male_R1-22122	2	Male	Right	Oligodendrocyte	1.704764955	1	Mbp
Male_R1-22124	1	Male	Right	Endothelial	0.952179415	10	Nostrin
Male_R1-22125	8	Male	Right	Neuron	-0.046028861	0	Gabra1
Male_R1-22127	8	Male	Right	Microglia	3.729893051	3	Cd40
Male_R1-22128	1	Male	Right	Astrocyte	1.29750543	22	Gfap
Male_R1-22131	2	Male	Right	Microglia	1.323364558	15	Tmem119
Male_R1-22132	2	Male	Right	Microglia	2.779571603	8	Cd68
Male_R1-22133	2	Male	Right	Oligodendrocyte	10	10	Gjc2
Male_R1-22140	2	Male	Right	Microglia	1.200103993	12	Tmem119
Male_R1-22144	2	Male	Right	Reticulocyte	3.396827946	23	Ruvbl1
Male_R1-22147	1	Male	Right	Reticulocyte	2.261472086	24	Ruvbl1
Male_R1-22151	0	Male	Right	Neuroepithelial	2.50941208	10	Sox2
Male_R1-22152	0	Male	Right	Microglia	1.664700448	26	Cd40
Male_R1-22153	2	Male	Right	Astrocyte	1.464506953	13	S100b
Male_R1-22161	0	Male	Right	Neuron	1.684616265	20	Map2
Male_R1-22163	0	Male	Right	Oligodendrocyte	6.451971928	55	Mag
Male_R1-22164	2	Male	Right	Neuron	6.864654719	17	Tubb3
Male_R1-22168	3	Male	Right	Endothelial	3.032873633	6	Emcn
Male_R1-22170	2	Male	Right	Oligodendrocyte	2.079900621	17	Mbp
Male_R1-22171	7	Male	Right	Neuroepithelial	5.501301375	66	Sox2
Male_R1-22186	7	Male	Right	Neuroepithelial	4.456231181	8	Hes1
Male_R1-22193	10	Male	Right	Neuron	8.86185707	7	Rbfox3
Male_R1-22207	9	Male	Right	Neuron	4.489117628	25	Rbfox3
Male_R1-22219	1	Male	Right	Neuron	1.795634667	19	Map2
Male_R1-22224	1	Male	Right	Microglia	0.899300629	26	Cx3cr1
Male_R1-22236	4	Male	Right	Oligodendrocyte	1.139348079	10	Mbp
Male_R1-22239	0	Male	Right	Microglia	1.687793903	19	Cd68
Male_R1-22240	1	Male	Right	Microglia	1.227756752	13	Tmem119
Male_R1-22241	2	Male	Right	Microglia	1.179917351	23	Cx3cr1
Male_R1-22248	0	Male	Right	Neuroepithelial	1.939658916	27	Sox2
Male_R1-22251	7	Male	Right	Oligodendrocyte	10	17	Opalin
Male_R1-22256	1	Male	Right	Neuron	5.012563391	26	Tubb3
Male_R1-22274	3	Male	Right	Neuroepithelial	6.722293117	10	Hes1
Male_R1-22280	0	Male	Right	Oligodendrocyte	0.945181895	23	Mbp
Male_R1-22285	11	Male	Right	Ependymal	6.655806671	24	Zmynd10
Male_R1-22292	3	Male	Right	Neuron	5.1950422	7	Gap43
Male_R1-22298	0	Male	Right	Astrocyte	1.087163618	15	Aqp4
Male_R1-22305	1	Male	Right	Microglia	1.806041826	17	Tmem119
Male_R1-22312	7	Male	Right	Astrocyte	4.535936067	53	Aqp4
Male_R1-22313	2	Male	Right	Reticulocyte	3.264806655	8	Ruvbl1
Male_R1-22316	1	Male	Right	Microglia	2.081389384	17	Cd40
Male_R1-22318	1	Male	Right	Neuron	6.877110746	15	Tubb3
Male_R1-22327	2	Male	Right	Neuron	2.939422333	24	Nefl
Male_R1-22330	7	Male	Right	Neuroepithelial	5.750664002	44	Sox2
Male_R1-22331	6	Male	Right	Neuroepithelial	3.110992839	13	Notch1
Male_R1-22336	0	Male	Right	Neuron	2.964645746	29	Nefl
Male_R1-22340	8	Male	Right	Neuron	5.808465946	9	Thy1
Male_R1-22342	1	Male	Right	Oligodendrocyte	1.351944866	10	Mbp
Male_R1-22345	2	Male	Right	Astrocyte	1.111886822	22	Slc1a3
Male_R1-22351	3	Male	Right	Endothelial	2.874383342	6	Emcn
Male_R1-22355	3	Male	Right	Astrocyte	3.341014312	11	Gjb6
Male_R1-22363	2	Male	Right	Microglia	3.316744354	11	Cd40
Male_R1-22364	4	Male	Right	Astrocyte	3.684480522	8	Gfap
Male_R1-22369	0	Male	Right	Astrocyte	4.3530308	16	Fgfr3
Male_R1-22373	3	Male	Right	Endothelial	3.259441042	5	Nostrin
Male_R1-22376	4	Male	Right	Immune	1.536752556	11	Tyrobp
Male_R1-22384	1	Male	Right	Astrocyte	1.866148089	25	Slc1a3
Male_R1-22397	1	Male	Right	Microglia	1.744700354	26	Cd40
Male_R1-22399	7	Male	Right	Astrocyte	5.913537813	69	Aldh1l1
Male_R1-22405	8	Male	Right	Neuroepithelial	2.199398604	2	Notch1
Male_R1-22416	0	Male	Right	Oligodendrocyte	7.21700533	42	Mag
Male_R1-22426	6	Male	Right	Erythroblast	4.202770735	7	Lmnb1
Male_R1-22428	1	Male	Right	Oligodendrocyte	1.506412124	26	Mbp
Male_R1-22429	1	Male	Right	Neuroepithelial	1.334376434	31	Notch1
Male_R1-22436	1	Male	Right	Microglia	1.069029238	29	Cx3cr1
Male_R1-22441	1	Male	Right	Microglia	1.616183293	25	Cd68
Male_R1-22451	2	Male	Right	Microglia	3.386531932	24	Cd40
Male_R1-22454	0	Male	Right	Microglia	1.510351179	16	Cd40
Male_R1-22457	0	Male	Right	Astrocyte	1.0315909	7	S100b
Male_R1-22463	0	Male	Right	Oligodendrocyte	1.415344523	26	Mbp
Male_R1-22464	2	Male	Right	Oligodendrocyte	1.67746856	14	Mbp
Male_R1-22466	0	Male	Right	Microglia	2.034429342	18	Tmem119
Male_R1-22468	3	Male	Right	Neuroepithelial	4.045331874	11	Hes1
Male_R1-22473	2	Male	Right	Neuron	2.051745578	23	Map2
Male_R1-22474	1	Male	Right	Neuron	2.861202644	23	Nefl
Male_R1-22478	2	Male	Right	Microglia	2.143732408	22	Tmem119
Male_R1-22482	1	Male	Right	Neuron	6.110769135	15	Tubb3
Male_R1-22490	2	Male	Right	Immune	1.037726969	16	Tyrobp
Male_R1-22502	0	Male	Right	Neuron	1.629240971	36	Mapt
Male_R1-22516	4	Male	Right	Neuron	4.57464027	6	Map2
Male_R1-22528	6	Male	Right	Neuron	4.832889032	13	Thy1
Male_R1-22542	6	Male	Right	Endothelial	2.895629817	8	Nostrin
Male_R1-22543	4	Male	Right	Immune	0.975972958	11	Tyrobp
Male_R1-22544	0	Male	Right	Oligodendrocyte	2.501700042	15	Mbp
Male_R1-22553	1	Male	Right	Immune	1.031741713	25	Tyrobp
Male_R1-22558	6	Male	Right	Neuroepithelial	3.409908063	3	Notch1
Male_R1-22559	2	Male	Right	Reticulocyte	2.78723148	8	Ruvbl1
Male_R1-22564	1	Male	Right	Neuron	2.792343539	15	Nefl
Male_R1-22569	0	Male	Right	Microglia	2.759179516	27	Cd68
Male_R1-22576	0	Male	Right	Microglia	1.753894381	27	Cd40
Male_R1-22586	1	Male	Right	Astrocyte	1.517550228	9	Aqp4
Male_R1-22589	3	Male	Right	Endothelial	3.014759355	7	Emcn
Male_R1-22596	3	Male	Right	Platelets	2.947886196	11	Ccl5
Male_R1-22601	4	Male	Right	Immune	1.354944744	9	Tyrobp
Male_R1-22608	2	Male	Right	Astrocyte	5.19315623	18	Aldh1l1
Male_R1-22609	1	Male	Right	Microglia	2.163799433	10	Cd40
Male_R1-22613	4	Male	Right	Reticulocyte	3.81755664	8	Ruvbl1
Male_R1-22614	2	Male	Right	Neuron	7.665924842	21	Slc12a5
Male_R1-22625	4	Male	Right	Immune	1.338209801	9	Tyrobp
Male_R1-22640	0	Male	Right	Microglia	1.48871564	37	Cd68
Male_R1-22641	0	Male	Right	Microglia	3.047045214	22	Cd40
Male_R1-22648	4	Male	Right	Astrocyte	5.114470791	5	Gjb6
Male_R1-22659	6	Male	Right	Endothelial	3.063715957	7	Emcn
Male_R1-22687	1	Male	Right	Oligodendrocyte	10	24	Mag
Male_R1-22692	2	Male	Right	Astrocyte	1.647469996	14	Gfap
Male_R1-22695	1	Male	Right	Microglia	2.714294574	24	Cd40
Male_R1-22700	1	Male	Right	Neuron	1.447711212	17	Map2
Male_R1-22710	1	Male	Right	Microglia	1.600265236	35	Tmem119
